book_id,chap_num,para_num,sent_num,token_str
42671,1,0,0,It
42671,1,0,1,is
42671,1,0,2,a
42671,1,0,3,truth
42671,1,0,4,universally
42671,1,0,5,acknowledged
42671,1,0,6,that
42671,1,0,7,a
42671,1,0,8,single
42671,1,0,9,man
42671,1,0,10,in
42671,1,0,11,possession
42671,1,0,12,of
42671,1,0,13,a
42671,1,0,14,good
42671,1,0,15,fortune
42671,1,0,16,must
42671,1,0,17,be
42671,1,0,18,in
42671,1,0,19,want
42671,1,0,20,of
42671,1,0,21,a
42671,1,0,22,wife
42671,2,0,0,However
42671,2,0,1,little
42671,2,0,2,known
42671,2,0,3,the
42671,2,0,4,feelings
42671,2,0,5,or
42671,2,0,6,views
42671,2,0,7,of
42671,2,0,8,such
42671,2,0,9,a
42671,2,0,10,man
42671,2,0,11,may
42671,2,0,12,be
42671,2,0,13,on
42671,2,0,14,his
42671,2,0,15,first
42671,2,0,16,entering
42671,2,0,17,a
42671,2,0,18,neighbourhood
42671,2,0,19,this
42671,2,0,20,truth
42671,2,0,21,is
42671,2,0,22,so
42671,2,0,23,well
42671,2,0,24,fixed
42671,2,0,25,in
42671,2,0,26,the
42671,2,0,27,minds
42671,2,0,28,of
42671,2,0,29,the
42671,2,0,30,surrounding
42671,2,0,31,families
42671,2,0,32,that
42671,2,0,33,he
42671,2,0,34,is
42671,2,0,35,considered
42671,2,0,36,as
42671,2,0,37,the
42671,2,0,38,rightful
42671,2,0,39,property
42671,2,0,40,of
42671,2,0,41,some
42671,2,0,42,one
42671,2,0,43,or
42671,2,0,44,other
42671,2,0,45,of
42671,2,0,46,their
42671,2,0,47,daughters
42671,3,1,0,My
42671,3,1,1,dear
42671,3,1,2,Mr
42671,3,2,0,
42671,3,2,1,Bennet
42671,3,2,2,
42671,3,3,0,
42671,3,3,1,said
42671,3,3,2,his
42671,3,3,3,lady
42671,3,3,4,to
42671,3,3,5,him
42671,3,3,6,one
42671,3,3,7,day
42671,3,3,8,
42671,3,4,0,have
