term_id,term_str,n,num,stop,p_stem,pos_max
0,,922,0,0,,NN
1,1,1,1,0,1,JJ
2,10,3,1,0,10,NN
3,14th,2,1,0,14th,CD
4,15th,1,1,0,15th,CD
5,179798,1,1,0,179798,JJ
6,1803,2,1,0,1803,CD
7,1813,2,1,0,1813,CD
8,1816,1,1,0,1816,CD
9,1818,1,1,0,1818,CD
10,18th,1,1,0,18th,CD
11,2,1,1,0,2,CD
12,20000,1,1,0,20000,NN
13,22nd,3,1,0,22nd,CD
14,23rd,1,1,0,23rd,CD
15,24th,1,1,0,24th,CD
16,26th,1,1,0,26th,CD
17,28th,1,1,0,28th,CD
18,3rd,1,1,0,3rd,CD
19,4,1,1,0,4,CD
20,6,1,1,0,6,CD
21,97,1,1,0,97,CD
22,a,6561,0,1,a,DT
23,abashed,1,0,0,abash,VBD
24,abate,2,0,0,abat,VB
25,abatement,3,0,0,abat,NN
26,abating,1,0,0,abat,JJ
27,abbey,40,0,0,abbey,NN
28,abbeys,2,0,0,abbey,NNS
29,abhor,3,0,0,abhor,VB
30,abhorrence,7,0,0,abhorr,NN
31,abhorrent,2,0,0,abhorr,JJ
32,abide,2,0,0,abid,VB
33,abiding,1,0,0,abid,NN
34,abilities,14,0,0,abil,NNS
35,able,158,0,0,abl,JJ
36,ablution,1,0,0,ablut,NN
37,abode,15,0,0,abod,NN
38,abominable,8,0,0,abomin,JJ
39,abominablei,1,0,0,abominablei,JJ
40,abominably,6,0,0,abomin,RB
41,abominate,2,0,0,abomin,VB
42,abound,1,0,0,abound,VB
43,abounding,1,0,0,abound,VBG
44,about,434,0,1,about,IN
45,abouts,1,0,0,about,VBP
46,above,61,0,1,abov,IN
47,abovementioned,2,0,0,abovement,JJ
48,abridger,1,0,0,abridg,NN
49,abroad,14,0,0,abroad,RB
50,abrupt,2,0,0,abrupt,JJ
51,abruptly,4,0,0,abruptli,RB
52,abruptness,3,0,0,abrupt,NN
53,absence,76,0,0,absenc,NN
54,absent,33,0,0,absent,JJ
55,absented,1,0,0,absent,VBD
56,absenting,1,0,0,absent,NN
57,absolute,16,0,0,absolut,JJ
58,absolutely,47,0,0,absolut,RB
59,absorbed,1,0,0,absorb,VBN
60,abstain,3,0,0,abstain,VB
61,abstinence,1,0,0,abstin,NN
62,abstract,1,0,0,abstract,VB
63,abstraction,2,0,0,abstract,NN
64,absurd,9,0,0,absurd,JJ
65,absurdi,1,0,0,absurdi,JJ
66,absurdities,2,0,0,absurd,NN
67,absurdity,5,0,0,absurd,NN
68,abundance,6,0,0,abund,NN
69,abundant,1,0,0,abund,JJ
70,abundantly,3,0,0,abundantli,RB
71,abuse,4,0,0,abus,NN
72,abused,2,0,0,abus,VBD
73,abusing,3,0,0,abus,VBG
74,abusive,2,0,0,abus,JJ
75,abyss,1,0,0,abyss,JJ
76,accede,2,0,0,acced,VB
77,acceded,1,0,0,acced,VBD
78,acceding,1,0,0,acced,VBG
79,accent,6,0,0,accent,NN
80,accents,2,0,0,accent,NN
81,accept,33,0,0,accept,VB
82,acceptable,16,0,0,accept,JJ
83,acceptance,9,0,0,accept,NN
84,accepted,38,0,0,accept,VBD
85,accepting,13,0,0,accept,VBG
86,access,1,0,0,access,NN
87,accessible,1,0,0,access,JJ
88,accession,4,0,0,access,NN
89,accessory,2,0,0,accessori,NN
90,accident,11,0,0,accid,NN
91,accidental,6,0,0,accident,JJ
92,accidentally,8,0,0,accident,RB
93,accommodate,2,0,0,accommod,VB
94,accommodated,1,0,0,accommod,VBN
95,accommodating,1,0,0,accommod,VBG
96,accommodation,3,0,0,accommod,NN
97,accommodations,1,0,0,accommod,NNS
98,accompanied,11,0,0,accompani,VBN
99,accompaniments,1,0,0,accompani,NNS
100,accompany,12,0,0,accompani,VB
101,accompanying,6,0,0,accompani,VBG
102,accomplish,3,0,0,accomplish,VB
103,accomplished,18,0,0,accomplish,JJ
104,accomplishedshe,1,0,0,accomplishedsh,JJ
105,accomplishing,1,0,0,accomplish,VBG
106,accomplishment,6,0,0,accomplish,NN
107,accomplishments,11,0,0,accomplish,NN
108,accord,2,0,0,accord,VB
109,accordant,2,0,0,accord,JJ
110,according,15,0,0,accord,VBG
111,accordingly,23,0,0,accordingli,RB
112,accosted,2,0,0,accost,VBD
113,account,119,0,0,account,NN
114,accountable,2,0,0,account,JJ
115,accounted,4,0,0,account,VBD
116,accounting,3,0,0,account,NN
117,accounts,11,0,0,account,NNS
118,accumulation,1,0,0,accumul,NN
119,accuracy,1,0,0,accuraci,JJ
120,accurate,2,0,0,accur,JJ
121,accurately,2,0,0,accur,RB
122,accusation,3,0,0,accus,NN
123,accusations,4,0,0,accus,NNS
124,accuse,7,0,0,accus,VB
125,accused,7,0,0,accus,VBN
126,accusing,1,0,0,accus,VBG
127,accustomary,2,0,0,accustomari,JJ
128,accustomed,5,0,0,accustom,JJ
129,ached,3,0,0,ach,VBD
130,aches,1,0,0,ach,NN
131,achieve,1,0,0,achiev,VB
132,achievements,1,0,0,achiev,NN
133,achieving,1,0,0,achiev,VBG
134,aching,2,0,0,ach,VBG
135,acknowledge,23,0,0,acknowledg,VB
136,acknowledged,48,0,0,acknowledg,VBD
137,acknowledging,4,0,0,acknowledg,VBG
138,acknowledgment,8,0,0,acknowledg,NN
139,acknowledgments,2,0,0,acknowledg,NN
140,acquaint,5,0,0,acquaint,VB
141,acquaintance,150,0,0,acquaint,NN
142,acquaintancemr,1,0,0,acquaintancemr,NN
143,acquaintances,1,0,0,acquaint,JJ
144,acquainted,46,0,0,acquaint,VBN
145,acquainting,1,0,0,acquaint,VBG
146,acquiesce,2,0,0,acquiesc,VB
147,acquiescence,10,0,0,acquiesc,NN
148,acquiesence,1,0,0,acquies,NN
149,acquire,2,0,0,acquir,VBP
150,acquired,6,0,0,acquir,VBN
151,acquirements,3,0,0,acquir,NNS
152,acquisition,7,0,0,acquisit,NN
153,acquit,9,0,0,acquit,VB
154,acquits,1,0,0,acquit,VBZ
155,acquitted,3,0,0,acquit,JJ
156,acquitting,1,0,0,acquit,VBG
157,acre,1,0,0,acr,NN
158,acres,3,0,0,acr,NNS
159,acrimony,1,0,0,acrimoni,NN
160,across,27,0,0,across,IN
161,act,57,0,0,act,VB
162,acted,16,0,0,act,VBN
163,acting,47,0,0,act,VBG
164,action,7,0,0,action,NN
165,actions,12,0,0,action,NNS
166,active,17,0,0,activ,JJ
167,activity,10,0,0,activ,NN
168,actor,3,0,0,actor,NN
169,actors,3,0,0,actor,NNS
170,actress,1,0,0,actress,NN
171,actresses,2,0,0,actress,NN
172,acts,7,0,0,act,NN
173,actual,14,0,0,actual,JJ
174,actually,30,0,0,actual,RB
