term_id,term_rank,term_str,n,num,stop,p_stem,pos_max,term_rank2,p,zipf_k,zipf_k2,zipf_k3,df,idf,tfidf_sum
10501,1,the,13716,0,1,the,DT,1,1.1543511193401783,13716,13716,1.1543511193401783,141,0.0,0.0
10646,2,to,11801,0,1,to,TO,2,0.9931829658306682,23602,23602,1.9863659316613365,141,0.0,0.0
467,3,and,11250,0,1,and,CC,3,0.9468103012960781,33750,33750,2.8404309038882345,141,0.0,0.0
7176,4,of,10755,0,1,of,IN,4,0.9051506480390507,43020,43020,3.6206025921562026,141,0.0,0.0
5011,5,her,6900,0,1,her,PRP$,5,0.5807103181282612,34500,34500,2.9035515906413063,140,0.0030910769771418647,0.008300895764646331
22,6,a,6561,0,1,a,DT,6,0.5521797677158727,39366,39366,3.313078606295236,141,0.0,0.0
5229,7,i,5678,0,1,i,PRP,7,0.47786567917858946,39746,39746,3.3450597542501264,136,0.015680204285162425,0.03442859492654426
5395,8,in,5633,0,1,in,IN,8,0.47407843797340515,45064,45064,3.7926275037872412,141,0.0,0.0
11483,9,was,5618,0,1,wa,VBD,9,0.47281602423834374,50562,50562,4.255344218145094,141,0.0,0.0
9420,10,she,5068,0,1,she,PRP,10,0.42652752061942434,50680,50680,4.265275206194243,139,0.006204312401284783,0.012215681746582822
5842,11,it,4883,0,1,it,PRP,11,0.4109577512203333,53713,53713,4.520535263423666,141,0.0,0.0
7046,12,not,4228,0,1,not,RB,12,0.35583235145598385,50736,50736,4.2699882174718065,141,0.0,0.0
10499,13,that,4055,0,1,that,IN,13,0.34127251304494194,52715,52715,4.436542669584245,141,0.0,0.0
933,14,be,3935,0,1,be,VB,14,0.3311732031644504,55090,55090,4.636424844302306,140,0.0030910769771418647,0.004627391556225103
11856,15,you,3880,0,1,you,PRP,15,0.3265443528025585,58200,58200,4.898165292038377,131,0.0319478169996156,0.0487216745364421
670,16,as,3574,0,1,as,IN,16,0.3007911126073052,57184,57184,4.812657801716883,141,0.0,0.0
4791,17,had,3521,0,1,had,VBD,17,0.2963305840767548,59857,59857,5.037619929304832,140,0.0030910769771418647,0.004224791938824956
4937,18,he,3423,0,1,he,PRP,18,0.28808281434102,61614,61614,5.18549065813836,141,0.0,0.0
4248,19,for,3314,0,1,for,IN,19,0.2789092745329069,62966,62966,5.299276216125231,141,0.0,0.0
5085,20,his,3148,0,1,hi,PRP$,20,0.26493856253156034,62960,62960,5.298771250631207,139,0.006204312401284783,0.007705479629982302
11713,21,with,3051,0,1,with,IN,21,0.2567749537114964,64071,64071,5.392274027941424,141,0.0,0.0
1385,22,but,2823,0,1,but,CC,22,0.23758626493856252,62106,62106,5.226897828648376,141,0.0,0.0
4927,23,have,2543,0,1,have,VB,23,0.21402120855074902,58489,58489,4.922487796667228,141,0.0,0.0
5833,24,is,2354,0,1,is,VBZ,24,0.19811479548897493,56496,56496,4.754755091735398,138,0.009340026254143432,0.008817385275359649
743,25,at,2342,0,1,at,IN,25,0.19710486450092576,58550,58550,4.9276216125231445,140,0.0030910769771418647,0.002820533354531696
9706,26,so,1921,0,1,so,RB,26,0.16167311900353476,49946,49946,4.203501094091903,140,0.0030910769771418647,0.0023309717966831403
7218,27,on,1869,0,1,on,IN,27,0.15729675138865512,50463,50463,4.247012287493688,141,0.0,0.0
358,28,all,1843,0,1,all,DT,28,0.15510856758121527,51604,51604,4.343039892274028,140,0.0030910769771418647,0.0022003453755907528
1395,29,by,1801,0,1,by,IN,29,0.15157380912304325,52229,52229,4.395640464568254,141,0.0,0.0
5071,30,him,1757,0,1,him,PRP,30,0.1478707288335297,52710,52710,4.436121865005891,135,0.018885344160373813,0.01309959392604571
2331,31,could,1747,0,0,could,MD,31,0.14702911967682208,54157,54157,4.557902709981485,137,0.012498545498973118,0.00826416071309995
6868,32,my,1643,0,1,my,PRP$,32,0.13827638444706278,52576,52576,4.424844302306009,132,0.02864518144953001,0.018952890327510623
11330,33,very,1623,0,1,veri,RB,33,0.13659316613364753,53559,53559,4.5075744824103685,140,0.0030910769771418647,0.0019723543724904703
974,34,been,1562,0,1,been,VBN,34,0.13145935027773104,53108,53108,4.469617909442855,140,0.0030910769771418647,0.0018484328206975474
11792,35,would,1550,0,0,would,MD,35,0.13044941928968187,54250,54250,4.565729675138866,140,0.0030910769771418647,0.0018528889923561816
11614,36,which,1548,0,1,which,WDT,36,0.13028109745834035,55728,55728,4.690119508500253,140,0.0030910769771418647,0.0018951085988477057
11589,37,were,1543,0,1,were,VBD,37,0.12986029287998654,57091,57091,4.8048308365595025,138,0.009340026254143432,0.005816597361879428
7004,38,no,1511,0,1,no,DT,38,0.12716714357852213,57418,57418,4.832351455983841,140,0.0030910769771418647,0.0018402276997190386
10534,39,they,1499,0,1,they,PRP,39,0.126157212590473,58461,58461,4.920131291028447,138,0.009340026254143432,0.005792079646251806
6836,40,mr,1416,0,0,mr,NNP,40,0.1191718565897997,56640,56640,4.766874263591988,133,0.02536747168829411,0.015415157890440468
4415,41,from,1413,0,1,from,IN,41,0.1189193738427874,57933,57933,4.8756943275542834,138,0.009340026254143432,0.005055503578825954
11598,42,what,1292,0,1,what,WP,42,0.10873590304662514,54264,54264,4.566907927958256,140,0.0030910769771418647,0.001599400077913343
10556,43,this,1248,0,1,thi,DT,43,0.1050328227571116,53664,53664,4.516411378555799,137,0.012498545498973118,0.006190557884732709
10522,44,there,1142,0,1,there,EX,44,0.09611176569601078,50248,50248,4.228917690624474,137,0.012498545498973118,0.005371828943105025
3159,45,do,1134,0,1,do,VBP,45,0.09543847837064467,51030,51030,4.29473152667901,134,0.022114314290572288,0.009554296385700847
11672,46,will,1131,0,1,will,MD,46,0.09518599562363239,52026,52026,4.37855579868709,131,0.0319478169996156,0.014296952688102937
7255,47,or,1121,0,1,or,CC,47,0.09434438646692477,52687,52687,4.434186163945464,139,0.006204312401284783,0.002685992316745747
461,48,an,1120,0,1,an,DT,48,0.094260225551254,53760,53760,4.524490826460192,140,0.0030910769771418647,0.0013506730988815698
10173,49,such,1082,0,1,such,JJ,49,0.09106211075576502,53018,53018,4.462043427032486,139,0.006204312401284783,0.0025772243746159246
10506,50,their,1080,0,1,their,PRP$,50,0.0908937889244235,54000,54000,4.544689446221175,138,0.009340026254143432,0.004279116977526669
6526,51,me,1079,0,1,me,PRP,51,0.09080962800875274,55029,55029,4.631291028446389,121,0.06643374233892978,0.027704662372350745
11870,52,your,1077,0,1,your,PRP$,52,0.09064130617741122,56004,56004,4.713347921225383,123,0.05931400121598193,0.025173037339273004
